ID, Name, Main
0, Myriel, 0
1, Napoleon, 0
2, MlleBaptistine, 0
3, MmeMagloire, 0
4, CountessDeLo, 0
5, Geborand, 0
6, Champtercier, 0
7, Cravatte, 0
8, Count, 0
9, OldMan, 0
10, Labarre, 0
11, Valjean, 1
12, Marguerite, 0
13, MmeDeR, 0
14, Isabeau, 0
15, Gervais, 0
16, Tholomyes, 0
17, Listolier, 0
18, Fameuil, 0
19, Blacheville, 0
20, Favourite, 0
21, Dahlia, 0
22, Zephine, 0
23, Fantine, 1
24, MmeThenardier, 1
25, Thenardier, 1
26, Cosette, 1
27, Javert, 1
28, Fauchelevent, 0
29, Bamatabois, 0
30, Perpetue, 0
31, Simplice, 0
32, Scaufflaire, 0
33, Woman1, 0
34, Judge, 0
35, Champmathieu, 0
36, Brevet, 0
37, Chenildieu, 0
38, Cochepaille, 0
39, Pontmercy, 0
40, Boulatruelle, 0
41, Eponine, 1
42, Anzelma, 0
43, Woman2, 0
44, MotherInnocent, 0
45, Gribier, 0
46, Jondrette, 0
47, MmeBurgon, 0
48, Gavroche, 1
49, Gillenormand, 0
50, Magnon, 0
51, MlleGillenormand, 0
52, MmePontmercy, 0
53, MlleVaubois, 0
54, LtGillenormand, 0
55, Marius, 1
56, BaronessT, 0
57, Mabeuf, 0
58, Enjolras, 1
59, Combeferre, 0
60, Prouvaire, 0
61, Feuilly, 0
62, Courfeyrac, 0
63, Bahorel, 0
64, Bossuet, 0
65, Joly, 0
66, Grantaire, 0
67, MotherPlutarch, 0
68, Gueulemer, 0
69, Babet, 0
70, Claquesous, 0
71, Montparnasse, 0
72, Toussaint, 0
73, Child1, 0
74, Child2, 0
75, Brujon, 0
76, MmeHucheloup, 0


		Data is public domain, collected by Donald Knuth
		Flag for Main manually added by Graham Wills
		The Stanford GraphBase: A Platform for Combinatorial Computing
		by Donald E. Knuth (New York: ACM Press, 1994), viii+576pp.
		Co-published by Addison-Wesley Publishing Company.
