A, B, Count
1, 0, 1
2, 0, 8
3, 0, 10
3, 2, 6
4, 0, 1
5, 0, 1
6, 0, 1
7, 0, 1
8, 0, 2
9, 0, 1
11, 10, 1
11, 3, 3
11, 2, 3
11, 0, 5
12, 11, 1
13, 11, 1
14, 11, 1
15, 11, 1
17, 16, 4
18, 16, 4
18, 17, 4
19, 16, 4
19, 17, 4
19, 18, 4
20, 16, 3
20, 17, 3
20, 18, 3
20, 19, 4
21, 16, 3
21, 17, 3
21, 18, 3
21, 19, 3
21, 20, 5
22, 16, 3
22, 17, 3
22, 18, 3
22, 19, 3
22, 20, 4
22, 21, 4
23, 16, 3
23, 17, 3
23, 18, 3
23, 19, 3
23, 20, 4
23, 21, 4
23, 22, 4
23, 12, 2
23, 11, 9
24, 23, 2
24, 11, 7
25, 24, 13
25, 23, 1
25, 11, 12
26, 24, 4
26, 11, 31
26, 16, 1
26, 25, 1
27, 11, 17
27, 23, 5
27, 25, 5
27, 24, 1
27, 26, 1
28, 11, 8
28, 27, 1
29, 23, 1
29, 27, 1
29, 11, 2
30, 23, 1
31, 30, 2
31, 11, 3
31, 23, 2
31, 27, 1
32, 11, 1
33, 11, 2
33, 27, 1
34, 11, 3
34, 29, 2
35, 11, 3
35, 34, 3
35, 29, 2
36, 34, 2
36, 35, 2
36, 11, 2
36, 29, 1
37, 34, 2
37, 35, 2
37, 36, 2
37, 11, 2
37, 29, 1
38, 34, 2
38, 35, 2
38, 36, 2
38, 37, 2
38, 11, 2
38, 29, 1
39, 25, 1
40, 25, 1
41, 24, 2
41, 25, 3
42, 41, 2
42, 25, 2
42, 24, 1
43, 11, 3
43, 26, 1
43, 27, 1
44, 28, 3
44, 11, 1
45, 28, 2
47, 46, 1
48, 47, 2
48, 25, 1
48, 27, 1
48, 11, 1
49, 26, 3
49, 11, 2
50, 49, 1
50, 24, 1
51, 49, 9
51, 26, 2
51, 11, 2
52, 51, 1
52, 39, 1
53, 51, 1
54, 51, 2
54, 49, 1
54, 26, 1
55, 51, 6
55, 49, 12
55, 39, 1
55, 54, 1
55, 26, 21
55, 11, 19
55, 16, 1
55, 25, 2
55, 41, 5
55, 48, 4
56, 49, 1
56, 55, 1
57, 55, 1
57, 41, 1
57, 48, 1
58, 55, 7
58, 48, 7
58, 27, 6
58, 57, 1
58, 11, 4
59, 58, 15
59, 55, 5
59, 48, 6
59, 57, 2
60, 48, 1
60, 58, 4
60, 59, 2
61, 48, 2
61, 58, 6
61, 60, 2
61, 59, 5
61, 57, 1
61, 55, 1
62, 55, 9
62, 58, 17
62, 59, 13
62, 48, 7
62, 57, 2
62, 41, 1
62, 61, 6
62, 60, 3
63, 59, 5
63, 48, 5
63, 62, 6
63, 57, 2
63, 58, 4
63, 61, 3
63, 60, 2
63, 55, 1
64, 55, 5
64, 62, 12
64, 48, 5
64, 63, 4
64, 58, 10
64, 61, 6
64, 60, 2
64, 59, 9
64, 57, 1
64, 11, 1
65, 63, 5
65, 64, 7
65, 48, 3
65, 62, 5
65, 58, 5
65, 61, 5
65, 60, 2
65, 59, 5
65, 57, 1
65, 55, 2
66, 64, 3
66, 58, 3
66, 59, 1
66, 62, 2
66, 65, 2
66, 48, 1
66, 63, 1
66, 61, 1
66, 60, 1
67, 57, 3
68, 25, 5
68, 11, 1
68, 24, 1
68, 27, 1
68, 48, 1
68, 41, 1
69, 25, 6
69, 68, 6
69, 11, 1
69, 24, 1
69, 27, 2
69, 48, 1
69, 41, 1
70, 25, 4
70, 69, 4
70, 68, 4
70, 11, 1
70, 24, 1
70, 27, 1
70, 41, 1
70, 58, 1
71, 27, 1
71, 69, 2
71, 68, 2
71, 70, 2
71, 11, 1
71, 48, 1
71, 41, 1
71, 25, 1
72, 26, 2
72, 27, 1
72, 11, 1
73, 48, 2
74, 48, 2
74, 73, 3
75, 69, 3
75, 68, 3
75, 25, 3
75, 48, 1
75, 41, 1
75, 70, 1
75, 71, 1
76, 64, 1
76, 65, 1
76, 66, 1
76, 63, 1
76, 62, 1
76, 48, 1
76, 58, 1


		Data is public domain, collected by Donald Knuth
		The Stanford GraphBase: A Platform for Combinatorial Computing
		by Donald E. Knuth (New York: ACM Press, 1994), viii+576pp.
		Co-published by Addison-Wesley Publishing Company.
